Feature,Importance Mean,Importance Std,Lead Group
V1_strip_min,-0.000877862623977857,0.006512598025701915,V1
V4_beat_t_max,-0.0009199134199134068,0.002361399776431539,V4
aVF_strip_kurtosis,-0.0009821519438265869,0.027112467719302237,aVF
V6_strip_q05,-0.001018487706013374,0.005142074079133828,V6
V6_beat_q_min,-0.0010195563193432038,0.00284287269278578,V6
aVL_strip_abs_area,-0.0010617701539471862,0.0037214444814625534,aVL
V1_beat_st_max,-0.00107136590642829,0.0028176369994873615,V1
aVF_strip_ptp,-0.0011364595147069557,0.020446357522702515,aVF
V4_strip_max,-0.001141008088447437,0.0031045681839588202,V4
I_strip_mean,-0.001157440883140065,0.005620691976910625,I
V1_post_r_200ms_mean,-0.0011960047713511029,0.001998807919123259,V1
V5_strip_abs_area,-0.0013216092253872437,0.0026193799847907704,V5
V4_strip_energy,-0.001342801954285691,0.0020740197157795353,V4
V6_beat_r_amp,-0.0013986425783304474,0.0013949318545677498,V6
V3_beat_r_amp,-0.0013992584824550846,0.0028097473752973926,V3
corr_V2_V3,-0.0014197141194638413,0.01315307387304021,cross-lead / global
V6_strip_std,-0.0014234533938967675,0.0012080710815802673,V6
V2_strip_mean,-0.0015557235403373753,0.030469904350252756,V2
V3_post_r_200ms_mean,-0.0017857142857142876,0.0024335183709615986,V3
aVR_beat_st_max,-0.0017873656391864917,0.006249413142537063,aVR
V4_beat_pre_mean,-0.0018310501616372627,0.0021520389212141542,V4
V2_strip_kurtosis,-0.0019235321321919492,0.0021747334692212785,V2
aVR_beat_st_slope,-0.0019913779465274397,0.002311950095137574,aVR
aVF_strip_min,-0.0023189898337699134,0.005343538581508312,aVF
V4_strip_q25,-0.0023886827458255906,0.0016932675636615847,V4
V5_strip_zero_cross,-0.0023953333174031506,0.017470400354424136,V5
V3_strip_skew,-0.0024123088416730582,0.002805579194345473,V3
aVR_strip_q95,-0.0024314386334069378,0.0024484803232994895,aVR
V3_strip_q25,-0.0026215338447636545,0.013125665396964772,V3
aVF_beat_t_mean,-0.0027316258675564448,0.002530305040891494,aVF
V2_strip_q95,-0.003183132661235916,0.006587127889093312,V2
V2_post_r_150ms_mean,-0.0032024288004354473,0.0016207205525342577,V2
V5_beat_t_mean,-0.0032755779883186396,0.009537275908181006,V5
V3_beat_pre_mean,-0.003534691706195503,0.004741821744901888,V3
V3_beat_q_min,-0.0036051721357810845,0.008130218077452634,V3
V6_beat_st_mean,-0.0036551759042826536,0.0027668902397276762,V6
aVR_beat_t_max,-0.0040149653704844215,0.02738852824096485,aVR
V6_beat_st_max,-0.004039946764199259,0.0020116401915017523,V6
V5_strip_kurtosis,-0.0043017940928992224,0.0018100930117898393,V5
V1_strip_q75,-0.00433255369055415,0.013339776695110835,V1
I_beat_q_min,-0.00435542881895658,0.002459627936465858,I
V5_beat_st_mean,-0.00448734244807085,0.0016839853906951096,V5
V2_strip_rms,-0.004604748565915748,0.0017253856379163537,V2
I_beat_t_mean,-0.004608325428468998,0.002841236074248479,I
I_strip_q05,-0.004882521180088503,0.001688085377710085,I
V1_strip_q95,-0.005238610595753454,0.004594172168555441,V1
V1_minus_V2_st_mean,-0.0053224462937207645,0.005986636737306817,V1
III_strip_q25,-0.0056896046859530175,0.008129029344784999,I
V5_beat_st_max,-0.006311569300362358,0.004591079429278455,V5
III_strip_min,-0.0069045323380584915,0.005997817097582037,I
aVR_beat_t_mean,-0.0077596064461722845,0.03729214122010054,aVR
II_strip_q05,-0.00840565086926301,0.030002123299666224,I
aVL_beat_st_slope,-0.008881355435781826,0.017915979259952263,aVL
aVL_strip_std,-0.008943383144548237,0.011162817318377895,aVL
V4_beat_area,-0.009651180056665853,0.017046280858868383,V4
V3_strip_q95,-0.00991879189648428,0.012984879903948615,V3
II_beat_st_mean,-0.012259136051001837,0.010019895450471265,I
V2_beat_s_min,-0.01254261311856123,0.015635452783193532,V2
aVL_strip_q75,-0.012610303201154258,0.015100359301726958,aVL
V1_strip_q05,-0.013178781146581295,0.013542112289293797,V1
II_strip_kurtosis,-0.014396926626656167,0.024964431861903766,I
V5_strip_q95,-0.014841619589262656,0.015465177837797226,V5
V4_strip_mean,-0.015955519531405383,0.01594195250369123,V4
V6_beat_area,-0.01758753512950419,0.020116896219061563,V6
V3_strip_mean,-0.018535822182498954,0.018749135157185584,V3
aVL_strip_q25,-0.020378509988903854,0.019116534922075327,aVL
V1_beat_t_mean,-0.02136519181801464,0.019635970766822636,V1
III_beat_area,-0.02604043036272179,0.024847157360588644,I
V4_beat_st_mean,-0.029497146254250605,0.01328726124620459,V4
III_strip_max,-0.032588442929539094,0.026628726077245833,I
aVL_beat_area,-0.038036124431294935,0.027700591223616407,aVL
